column,spark_type
patid,long
journey_stage,string
journey_stage_reason,string
first_csu_dx_date,date
last_csu_dx_date,date
continuous_enrollment,integer
elig_start_date,date
elig_end_date,date
has_csu_specialist_visit,integer
first_xolair_medication_date,date
last_xolair_medication_date,date
first_xolair_proc_date,date
last_xolair_proc_date,date
first_xolair_treatment_date,date
last_xolair_treatment_date,date
xolair_medication_claim_count,long
xolair_proc_claim_count,long
covered_days,long
pdc,double
adherent_flag,integer
discontinued_flag,integer
maintained_flag,integer
days_after_last_treatment_observed,integer
diagnosis_quality_score,double
procedure_quality_score,double
cost_quality_score,double
enrollment_quality_score,double
claim_record_count,long
diagnosis_record_count,long
procedure_record_count,long
cost_record_count,long
missing_diagcode_flag,integer
missing_index_date_flag,integer
missing_proc_date_flag,integer
missing_proc_code_flag,integer
missing_cost_flag,integer
has_std_cost_flag,integer
has_secondary_cost_flag,integer
has_optional_pharmacy_cost_flag,integer
missing_elig_start_flag,integer
missing_elig_end_flag,integer
non_continuous_enrollment_flag,integer
data_quality_score,double
data_quality_band,string
data_quality_issue_summary,string
index_date,date
cci_mi,integer
cci_chf,integer
cci_pvd,integer
cci_cerebrovascular,integer
cci_dementia,integer
cci_chronic_pulmonary,integer
cci_rheumatic,integer
cci_peptic_ulcer,integer
cci_mild_liver,integer
cci_diabetes_no_complication,integer
cci_diabetes_complication,integer
cci_paraplegia,integer
cci_renal,integer
cci_malignancy,integer
cci_severe_liver,integer
cci_metastatic_cancer,integer
cci_hiv,integer
elx_chf,integer
elx_cardiac_arrhythmia,integer
elx_valvular_disease,integer
elx_pulmonary_circulation,integer
elx_pvd,integer
elx_hypertension_uncomplicated,integer
elx_hypertension_complicated,integer
elx_paralysis,integer
elx_other_neurological,integer
elx_chronic_pulmonary,integer
elx_diabetes_uncomplicated,integer
elx_diabetes_complicated,integer
elx_hypothyroidism,integer
elx_renal_failure,integer
elx_liver_disease,integer
elx_peptic_ulcer,integer
elx_aids_hiv,integer
elx_lymphoma,integer
elx_metastatic_cancer,integer
elx_solid_tumor_no_metastasis,integer
elx_rheumatoid_collagen,integer
elx_coagulopathy,integer
elx_obesity,integer
elx_weight_loss,integer
elx_fluid_electrolyte,integer
elx_blood_loss_anemia,integer
elx_deficiency_anemia,integer
elx_alcohol_abuse,integer
elx_drug_abuse,integer
elx_psychoses,integer
elx_depression,integer
charlson_score,long
elixhauser_van_walraven_score,long
comorbidity_diag_distinct_count,long
comorbidity_diag_claim_count,long
comorbidity_source_tables,array<string>
charlson_risk_band,string
elixhauser_risk_band,string
index_biologic_brand,string
index_biologic_molecule,string
index_biologic_match_method,string
treatment_start_date,date
last_observed_date,date
followup_90d_flag,integer
max_consecutive_biologic_coverage_days,integer
persistence_60d_flag,integer
last_coverage_end,date
max_internal_gap_days,integer
terminal_gap_days,integer
discontinued_90d_flag,integer
rescue_steroid_burst_count,long
rescue_steroid_burst_flag,integer
first_rescue_steroid_date,date
urticaria_angioedema_ed_count,long
urticaria_angioedema_ed_flag,integer
first_urticaria_angioedema_ed_date,date
second_biologic_count,long
biologic_switch_180d_flag,integer
first_biologic_switch_date,date
immunosuppressant_addon_count,long
immunosuppressant_addon_180d_flag,integer
first_immunosuppressant_addon_date,date
immunosuppressant_addon_generics,array<string>
refractory_flag,integer
inadequate_flag,integer
controlled_flag,integer
csu_response_proxy_category,string
treatment_response,string
outcome_indicator,string
response_method,string
min_source_timestamp,timestamp
max_source_timestamp,timestamp
min_ingestion_timestamp,timestamp
max_ingestion_timestamp,timestamp
min_data_lag_hours,double
max_data_lag_hours,double
source_tables_used,array<string>
extract_ym_values,array<string>
versions,array<string>
gdr_cd,string
age_at_index,double
yrdob,long
zipcode_5,string
family_id,long
payer_category,string
payer_product,string
payer_bus,string
health_exchange_flag,integer
lis_dual_flag,integer
payer_continuous_enrollment,integer
brand,string
molecule,string
entity_type,string
has_treatment_data_flag,integer
high_comorbidity_burden_flag,integer
npi,string
hcp_id,string
prov,string
dea,string
treated_patient_count,long
influence_network_size,long
shared_patient_edge_count,long
shared_patient_weight,long
max_shared_patient_edge_weight,long
shared_patient_kol_score_pct,double
referral_in_degree,long
referral_in_patient_count,long
max_referral_in_edge_weight,long
referral_out_degree,long
referral_out_patient_count,long
referral_kol_score_pct,double
kol_score_100pt,double
kol_score,double
kol_category,string
influence_network_source,string
influence_network_method,string
bed_sz_range,string
cred_type,string
grp_practice,long
hosp_affil,long
prov_state,string
prov_type,string
provcat,string
taxonomy1,string
taxonomy2,string
specialty_group,string
launch_dt,date
launch_context,string
is_csu_approved,integer
first_adoption_dt,date
days_to_first,integer
adopter_rank,integer
adopter_count,long
adoption_cumulative_share,double
adoption_category,string
adoption_status,string
adoption_category_method,string
target_event_count,long
target_patient_count,long
distinct_target_code_count,long
