feature,type,source_table,lookback_window,null_rate,notes
age_at_index,feature,optum_mart.patient,enrollment,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
cci_cerebrovascular,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
cci_chf,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
cci_chronic_pulmonary,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
cci_dementia,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
cci_diabetes_complication,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
cci_diabetes_no_complication,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
cci_hiv,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
cci_malignancy,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
cci_metastatic_cancer,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
cci_mi,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
cci_mild_liver,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
cci_paraplegia,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
cci_peptic_ulcer,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
cci_pvd,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
cci_renal,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
cci_rheumatic,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
cci_severe_liver,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
charlson_risk_band,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
charlson_score,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
comorbidity_diag_claim_count,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
comorbidity_diag_distinct_count,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elixhauser_risk_band,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elixhauser_van_walraven_score,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_aids_hiv,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_alcohol_abuse,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_blood_loss_anemia,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_cardiac_arrhythmia,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_chf,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_chronic_pulmonary,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_coagulopathy,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_deficiency_anemia,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_depression,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_diabetes_complicated,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_diabetes_uncomplicated,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_drug_abuse,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_fluid_electrolyte,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_hypertension_complicated,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_hypertension_uncomplicated,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_hypothyroidism,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_liver_disease,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_lymphoma,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_metastatic_cancer,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_obesity,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_other_neurological,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_paralysis,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_peptic_ulcer,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
elx_psychoses,feature,optum_mart.patient,index_date,,"pre-index admissible; data_quality_band is upstream-opaque, NOT used as a gate"
